,term,count
127,user research,32
125,user need,19
115,service design,16
43,agile delivery,13
130,user - centre,13
64,agile team,12
95,iterative,10
94,iteration,9
50,agile method,9
118,sprint,9
59,agile project,8
44,agile development,8
70,agile way,8
117,software development,7
109,product owner,6
71,agile way of work,6
56,agile principle,5
51,agile methodology,4
84,development team,4
131,user - centre design,4
76,backlog,4
102,minimum viable product,3
129,user test,3
60,agile project management,3
49,agile manifesto,2
42,agile coach,2
103,mvp,2
128,user story,2
77,collaboration space,1
62,agile stage,1
61,agile software development,1
83,design think,1
39,agile ceremony,1
57,agile process,1
101,lean startup,1
120,sprint plan,1
126,user requirement,1
135,whiteboard,1
69,agile wall,1
137,wireframe,1
