Organisation,Ministry Type
Attorney General's Office,UK specific
Cabinet Office,Cabinet / Federal Government Office
"Department for Business, Energy & Industrial Strategy",Economic Affairs
"Department for Digital, Culture, Media and Sport","Digital, Culture, Media, and Sport (UK only)"
Department for Education,Education \& Research
"Department for Environment, Food and Rural Affairs","Environment, Food \& Agriculture"
Department for International Development,Int. Trade \& Development
Department for International Trade,Int. Trade \& Development
Department for Transport,Transport
Department for Work and Pensions,Work \& Social Affairs
Department of Health and Social Care,Health \& Social Care
Foreign and Commonwealth Office,Foreign Office
HM Treasury,Finance
Home Office,Home / Interior
"Ministry of Housing, Communities and Local Government","Housing, Communities \& Local Government (UK)"
Ministry of Justice,Justice
Northern Ireland Office,UK specific
Ministry of Defence,Defence
Ministry of Education and Research,Education \& Research
Ministry of Labour and Social Affairs,Work \& Social Affairs
"Ministry for the Environment, Nature Conservation and Nuclear Safety","Environment, Food \& Agriculture"
Ministry for Economic Affairs and Energy,Economic Affairs
Federal Government,Cabinet / Federal Government Office
Foreign Office,Foreign Office
Ministry of Finance,Finance
Ministry of Justice and Consumer Protection,Justice
"Ministry of the Interior, Building and Community",Home / Interior
Ministry of Food and Agriculture,"Environment, Food \& Agriculture"
"Ministry for Family Affairs, Senior Citizens, Women and Youth",Health \& Social Care
Ministry of Health,Health \& Social Care
Ministry of Transport and Digital Infrastructure,Transport
Ministry for Economic Cooperation and Development,Int. Trade \& Development
