,term,count
26,innovationskultur,3
184,agil arbeitsformen,3
255,nutzer,2
39,scrum,2
9,agil arbeitend organisationseinheit,2
273,agil arbeit,2
16,agil methodik,1
133,innovationsmanagement,1
140,design thinking,1
211,sprint,1
247,agil prinzip,1
146,agil arbeitswelt,1
177,backlog,1
243,agil managementmethoden,1
34,agil arbeitsmethoden,1
126,agil vorgehensweise,1
97,new work,1
156,agil projekt,1
199,product owner,1
270,daily scrum,1
158,sprint review,1
173,scrum master,1
107,agil team,1
155,product backlog,1
303,agil softwareweiterentwicklung,1
