,term,count
127,user research,41
125,user need,34
115,service design,29
95,iterative,23
130,user - centre,23
118,sprint,18
94,iteration,17
70,agile way,17
43,agile delivery,16
50,agile method,16
64,agile team,13
117,software development,11
131,user - centre design,11
51,agile methodology,10
44,agile development,9
109,product owner,8
84,development team,7
56,agile principle,7
129,user test,7
71,agile way of work,6
59,agile project,6
76,backlog,5
83,design think,5
102,minimum viable product,5
128,user story,4
42,agile coach,4
87,fail fast,3
89,hackathon,3
60,agile project management,3
126,user requirement,3
57,agile process,3
49,agile manifesto,2
103,mvp,2
54,agile organisation,2
69,agile wall,1
61,agile software development,1
62,agile stage,1
63,agile structure,1
65,agile technique,1
77,collaboration space,1
79,cross - departmental approach,1
46,agile environment,1
101,lean startup,1
120,sprint plan,1
135,whiteboard,1
47,agile innovation,1
137,wireframe,1
39,agile ceremony,1
