,term,count
189,agil arbeit,10
188,innovationskultur,3
126,agil arbeitsformen,3
167,agil arbeitend organisationseinheit,2
146,scrum,2
174,design thinking,1
29,innovationsmanagement,1
32,daily scrum,1
34,agil wert,1
249,agil management,1
247,product owner,1
289,sprint,1
171,product backlog,1
105,agil softwareweiterentwicklung,1
58,scrum master,1
98,agil innovation,1
95,agil methodik,1
203,new work,1
224,sprint review,1
150,agil team,1
84,agil arbeitsmethoden,1
265,agil prinzip,1
183,agil method,1
165,agil projekt,1
274,backlog,1
